GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
106,1216,2,1245,51,3,5,3,0,2,0,39,2
95,939,1,1506,51,3,5,5,0,1,0,13,2
824,679,1,1629,51,0,5,1,0,1,0,37,2
977,572,1,1015,5,0,5,1,0,1,1,31,2
1114,183,2,1515,51,0,5,1,0,0,0,30,2
329,105,1,1526,51,0,5,1,0,1,1,12,1
230,540,2,1822,6,0,2,1,11,0,1,45,2
589,534,2,43,16,3,2,4,0,0,1,26,2
589,534,2,43,16,3,2,4,0,2,1,20,2
917,470,2,905,19,0,5,1,11,0,1,17,2
442,1140,2,1730,51,3,2,5,11,0,0,21,2
1373,645,1,1500,43,0,5,1,0,1,0,11,2
1361,1218,1,900,51,0,5,1,0,1,1,7,2
81,785,2,1830,16,0,1,1,0,0,0,27,2
50,1534,2,1004,51,0,5,1,11,0,1,72,1
1244,224,2,1130,11,0,5,1,10,0,1,48,1
959,1353,1,1216,51,0,5,1,0,1,1,71,2
644,299,2,1430,51,0,5,1,0,0,1,39,2
210,849,2,1810,51,0,2,1,11,0,1,26,2
364,618,2,33,51,0,1,1,14,2,1,81,2
109,805,1,50,51,0,2,1,0,1,0,20,2
889,2,2,320,48,0,0,1,0,0,1,33,2
889,2,2,320,48,0,0,1,0,0,1,36,2
889,2,2,320,48,0,0,1,0,2,0,42,1
437,460,2,1813,51,3,2,1,11,0,1,56,2
721,265,2,2320,51,3,2,5,15,0,1,36,2
721,265,2,2320,51,3,2,5,15,2,1,51,2
721,265,2,2320,51,3,2,5,15,2,0,46,2
1426,715,2,4,51,3,3,5,2,1,1,36,1
227,498,2,1445,39,0,5,1,0,0,1,32,2
42,1477,2,810,51,3,5,5,0,0,0,53,1
853,395,2,825,50,0,5,1,0,0,0,37,2
180,149,2,1240,8,3,5,1,0,2,0,65,2
667,66,2,1425,49,3,5,5,0,0,1,64,2
1142,161,2,754,48,0,5,1,10,0,1,51,1
1253,114,2,800,20,0,5,1,0,0,0,35,2
177,252,1,1425,51,0,5,1,13,1,1,47,1
730,804,2,1643,3,0,1,1,0,2,1,56,2
850,496,2,1813,51,0,2,1,11,0,1,23,2
611,889,2,1630,51,0,5,1,0,0,0,26,2
1213,933,2,658,51,3,2,5,9,0,1,21,1
7,1464,2,720,51,0,1,1,0,0,1,33,2
7,1464,2,720,51,0,1,1,0,2,0,32,2
118,580,1,1221,51,0,5,1,0,1,1,66,2
760,112,1,1246,51,3,5,5,0,1,0,19,1
763,1343,1,1551,51,0,5,1,0,1,0,15,2
1026,1312,2,1626,51,3,5,1,0,0,0,28,2
1026,1312,2,1626,51,3,5,1,0,2,0,58,2
557,1278,1,1815,51,0,2,1,0,1,1,50,2
569,954,2,1835,51,3,2,5,11,0,1,22,2
548,334,2,1146,51,0,5,1,0,0,0,54,2
548,334,2,1146,51,0,5,1,0,0,0,83,2
169,934,2,1255,51,0,5,1,11,0,1,28,2
73,850,2,1340,16,0,5,1,0,0,0,25,2
73,850,2,1340,16,0,5,1,0,2,0,25,2
73,850,2,1340,16,0,5,1,0,0,0,29,2
1549,549,2,1836,21,0,1,1,0,0,0,25,2
1549,549,2,1836,21,0,1,1,0,2,1,27,2
1549,549,2,1836,21,0,1,1,0,0,1,44,2
1214,757,2,815,51,0,5,1,11,0,1,16,2
247,833,2,1030,16,3,5,5,0,0,1,33,2
402,923,1,1435,17,3,5,5,13,1,0,32,2
1118,1068,1,1900,51,3,2,5,0,1,1,44,2
258,1110,1,1910,51,0,2,1,0,1,1,44,2
114,190,2,820,51,3,5,1,0,0,0,39,2
616,584,1,1110,2,0,5,1,14,2,0,2,2
1411,306,2,2045,48,3,0,5,0,0,0,36,2
1411,306,2,2045,48,3,0,5,0,2,1,32,2
882,629,1,910,51,0,5,1,14,2,0,23,2
635,1044,1,1405,25,0,5,1,0,1,1,21,2
211,1352,2,826,51,3,5,1,9,0,1,20,1
406,625,1,1130,51,0,5,1,0,1,0,48,2
906,710,2,2015,51,3,2,5,0,0,1,31,2
906,710,2,2015,51,3,2,5,0,2,1,9,2
906,710,2,2015,51,3,2,5,0,2,1,7,2
737,743,1,1312,51,0,5,1,13,1,0,64,2
164,238,2,1515,2,0,5,1,11,0,1,73,2
1014,610,1,945,51,0,5,1,14,2,0,80,2
1269,758,2,1715,43,0,1,1,11,0,0,45,2
480,773,2,2055,51,0,2,1,0,0,0,35,2
480,773,2,2055,51,0,2,1,0,0,0,42,2
672,388,2,817,51,0,5,1,0,0,1,44,2
696,681,2,1410,2,3,5,5,0,2,1,37,2
