GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,y
1294,429707,2,2115,48,0,2,1,0,0,1,30,2
690,436087,1,735,51,0,5,1,0,1,0,18,2
228,433156,2,815,51,0,5,1,11,0,1,38,2
586,435650,2,905,25,0,5,1,11,0,0,40,2
1127,433225,1,916,51,0,5,1,0,1,0,73,2
474,434406,2,1145,51,0,5,1,0,2,0,69,2
1046,433707,1,1740,51,0,1,1,14,2,1,6,2
1544,430929,2,714,21,0,1,1,8,0,1,42,2
1307,435844,1,1015,51,0,5,1,14,2,0,89,2
330,433076,2,800,51,0,5,1,9,0,1,51,2
252,438930,3,1900,51,0,2,1,0,0,0,31,2
1061,433679,1,1950,12,0,2,1,0,1,1,27,2
811,428088,2,1610,51,0,5,1,0,0,0,36,2
746,437762,2,820,51,0,5,1,11,0,1,40,2
529,429560,1,1815,19,3,2,5,0,1,1,16,1
481,435714,2,1745,51,3,1,4,11,0,1,21,2
577,434562,2,2300,51,0,2,1,11,0,1,48,2
174,434259,2,37,51,0,1,1,0,0,1,36,2
51,433957,2,1440,39,0,5,1,0,0,1,39,2
89,434608,2,1210,41,3,5,1,0,0,0,44,2
594,433218,2,1350,2,0,5,1,0,0,0,30,2
26,445015,2,1640,25,3,5,1,0,2,1,46,2
556,431580,2,1815,15,3,2,5,0,0,1,43,2
1138,434915,2,1930,51,3,2,1,11,0,1,27,2
79,434543,2,1825,51,0,1,1,11,0,1,20,2
984,433352,1,2245,5,3,2,1,0,1,1,21,2
212,425559,2,1000,30,3,5,3,0,2,0,29,2
1404,428266,2,1240,14,0,5,1,0,2,0,27,2
347,428469,1,1355,51,3,5,1,0,1,0,43,2
1040,435810,3,1946,51,0,1,1,0,2,1,31,2
1040,435810,3,1946,51,0,1,1,0,2,1,19,2
819,432530,2,1230,19,0,5,1,0,0,1,36,2
998,435528,2,845,51,3,5,1,11,0,1,33,1
1120,435529,2,850,2,3,5,5,0,0,1,23,2
168,443388,1,900,51,1,5,5,0,0,0,30,2
1240,436886,3,755,51,3,5,6,11,0,1,10,2
1524,427852,2,955,51,3,5,1,5,0,1,16,2
104,432530,2,1645,51,0,5,1,0,0,1,27,2
1218,438027,3,1652,51,0,5,0,0,0,0,54,2
1479,432248,2,1650,14,0,5,1,10,0,1,26,2
916,433299,1,1935,51,0,2,1,0,1,1,16,1
739,433964,1,1830,51,0,1,1,5,1,1,26,2
1405,435761,2,1115,7,3,5,5,0,0,0,28,2
1296,425850,1,1130,49,3,5,5,0,0,1,27,2
1271,435237,2,1322,51,3,5,4,0,2,0,39,2
823,433712,1,1345,51,3,5,5,0,1,0,35,2
774,433786,1,1500,51,0,5,1,14,2,0,64,2
573,434227,1,1634,51,0,5,1,14,2,0,22,2
573,434227,1,1634,51,0,5,1,14,2,0,22,2
637,435464,1,1910,25,3,2,5,0,1,0,23,2
992,436425,2,1918,51,3,2,5,0,2,1,47,2
992,436425,2,1918,51,3,2,5,0,2,0,12,2
