GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
431965,430309,2,1224,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Male,37,Slight
427976,435308,2,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,19,Slight
424149,427904,2,1329,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,41,Slight
432287,438836,3,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,18,Slight
432287,438836,3,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,19,Slight
432287,438836,3,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,22,Slight
429169,431942,2,1950,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,46,Slight
430024,432605,2,2118,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Male,19,Slight
429293,433679,2,645,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,33,Slight
434937,428908,2,1115,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,13,Serious
434252,434278,2,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,30,Slight
427483,434591,2,1630,A65,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,23,Slight
431966,435835,3,1903,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,26,Slight
431966,435835,3,1903,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,24,Slight
431966,435835,3,1903,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Male,20,Slight
433495,435155,2,2030,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,34,Slight
421032,445002,2,1845,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Male,47,Slight
428420,428758,2,1700,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Female,29,Slight
430973,435826,1,901,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Female,40,Slight
427312,434684,2,1205,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Female,42,Slight
427529,430960,1,1608,M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,26,Slight
436558,436164,2,1640,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,27,Slight
425569,433062,2,128,U,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,17,Serious
430355,433052,1,955,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,52,Serious
430103,431583,2,1125,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,57,Slight
430574,430623,2,1147,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,77,Slight
